material,defect_type,good_threshold,defect_threshold
cable_test,cable_bent_wire,,0.012493453
cable_test,cable_combined,,0.009974962
cable_test,cable_cut_inner_insulation,,0.013559564
cable_test,cable_cut_outer_insulation,,0.015354155
cable_test,cable_good,0.0162024,
cable_test,cable_missing_cable,,0.010540918
cable_test,cable_missing_wire,,0.01047823
cable_test,cable_poke_insulation,,0.010754732
cable_test,cable_swap,,0.012868697
grid_test,grid_bent,,0.0058337967
grid_test,grid_broken,,0.0055758203
grid_test,grid_glue,,0.0052336706
grid_test,grid_good,0.008617412,
grid_test,grid_metal_contamination,,0.006266293
grid_test,grid_thread,,0.004906047
grid_train,grid_good,0.008751632,
metal_nut_test,metal_nut_bent,,0.0027110958
metal_nut_test,metal_nut_color,,0.002484833
metal_nut_test,metal_nut_flip,,0.0019829832
metal_nut_test,metal_nut_good,0.004048994,
metal_nut_test,metal_nut_scratch,,0.002460238
metal_nut_train,metal_nut_good,0.0038174307,
screw_test,screw_good,0.002816284,
screw_test,screw_manipulated_front,,0.0020367515
screw_test,screw_scratch_head,,0.001732938
screw_test,screw_scratch_neck,,0.0017865867
screw_test,screw_thread_side,,0.0018222386
screw_test,screw_thread_top,,0.002024094
screw_train,screw_good,0.0026418199,
transistor_test,transistor_bent_lead,,0.012306689
transistor_test,transistor_cut_lead,,0.011937888
transistor_test,transistor_damaged_case,,0.012774839
transistor_test,transistor_good,0.016066942,
